subset,condition,score,threshold,accepted,errors,coverage,risk,requested_coverage
manual_ai_authored,fitted,max_probability,0.9981520379726923,18,0,0.1,0.0,0.1
manual_ai_authored,fitted,max_probability,0.9969849292077042,36,0,0.2,0.0,0.2
manual_ai_authored,fitted,max_probability,0.9961093422848623,54,0,0.3,0.0,0.3
manual_ai_authored,fitted,max_probability,0.9951267873303288,72,0,0.4,0.0,0.4
manual_ai_authored,fitted,max_probability,0.9937039073540754,90,0,0.5,0.0,0.5
manual_ai_authored,fitted,max_probability,0.9917804633315992,108,0,0.6,0.0,0.6
manual_ai_authored,fitted,max_probability,0.9875713674970913,126,0,0.7,0.0,0.7
manual_ai_authored,fitted,max_probability,0.9765540229660253,144,0,0.8,0.0,0.8
manual_ai_authored,fitted,max_probability,0.9197682111255556,162,1,0.9,0.006172839506172839,0.9
manual_ai_authored,fitted,max_probability,0.3286149566975638,180,8,1.0,0.044444444444444446,1.0
manual_ai_authored,fitted,entropy_confidence,0.9876207610196327,18,0,0.1,0.0,0.1
manual_ai_authored,fitted,entropy_confidence,0.981274609130997,36,0,0.2,0.0,0.2
manual_ai_authored,fitted,entropy_confidence,0.9747433534944867,54,0,0.3,0.0,0.3
manual_ai_authored,fitted,entropy_confidence,0.9689819114693723,72,0,0.4,0.0,0.4
manual_ai_authored,fitted,entropy_confidence,0.958286227740982,90,0,0.5,0.0,0.5
manual_ai_authored,fitted,entropy_confidence,0.9459528787534989,108,0,0.6,0.0,0.6
manual_ai_authored,fitted,entropy_confidence,0.931256095775286,126,0,0.7,0.0,0.7
manual_ai_authored,fitted,entropy_confidence,0.8805370993933944,144,0,0.8,0.0,0.8
manual_ai_authored,fitted,entropy_confidence,0.7834692504786955,162,1,0.9,0.006172839506172839,0.9
manual_ai_authored,fitted,entropy_confidence,0.0013708042555624633,180,8,1.0,0.044444444444444446,1.0
choice,t1,max_probability,0.999937234634855,80,0,0.1,0.0,0.1
choice,t1,max_probability,0.999876305966284,160,0,0.2,0.0,0.2
choice,t1,max_probability,0.9997451751146259,240,0,0.3,0.0,0.3
choice,t1,max_probability,0.9995125296439852,320,0,0.4,0.0,0.4
choice,t1,max_probability,0.9989274617156371,400,0,0.5,0.0,0.5
choice,t1,max_probability,0.9972672684942295,480,0,0.6,0.0,0.6
choice,t1,max_probability,0.9924134588538903,560,1,0.7,0.0017857142857142857,0.7
choice,t1,max_probability,0.9683155010670381,640,4,0.8,0.00625,0.8
choice,t1,max_probability,0.8721482642874735,720,10,0.9,0.013888888888888888,0.9
choice,t1,max_probability,0.2541437353991412,800,32,1.0,0.04,1.0
choice,t1,entropy_confidence,0.9994939608406822,80,0,0.1,0.0,0.1
choice,t1,entropy_confidence,0.998972830915196,160,0,0.2,0.0,0.2
choice,t1,entropy_confidence,0.99817195153381,240,0,0.3,0.0,0.3
choice,t1,entropy_confidence,0.9963721437100909,320,0,0.4,0.0,0.4
choice,t1,entropy_confidence,0.993029781750624,400,0,0.5,0.0,0.5
choice,t1,entropy_confidence,0.9857051796457978,480,0,0.6,0.0,0.6
choice,t1,entropy_confidence,0.9646673090453891,560,1,0.7,0.0017857142857142857,0.7
choice,t1,entropy_confidence,0.8860181095409869,640,5,0.8,0.0078125,0.8
choice,t1,entropy_confidence,0.6779243935521317,720,9,0.9,0.0125,0.9
choice,t1,entropy_confidence,0.015305263287302862,800,32,1.0,0.04,1.0
choice,fitted,max_probability,0.9990551326238313,80,0,0.1,0.0,0.1
choice,fitted,max_probability,0.9984252864482832,160,0,0.2,0.0,0.2
choice,fitted,max_probability,0.9973193255908057,240,0,0.3,0.0,0.3
choice,fitted,max_probability,0.9957976250924554,320,0,0.4,0.0,0.4
choice,fitted,max_probability,0.9921945492933151,400,0,0.5,0.0,0.5
choice,fitted,max_probability,0.9842275761616578,480,0,0.6,0.0,0.6
choice,fitted,max_probability,0.9670652368287838,560,1,0.7,0.0017857142857142857,0.7
choice,fitted,max_probability,0.9128884760832093,640,4,0.8,0.00625,0.8
choice,fitted,max_probability,0.7691172842860233,720,10,0.9,0.013888888888888888,0.9
choice,fitted,max_probability,0.23382261326551368,800,32,1.0,0.04,1.0
choice,fitted,entropy_confidence,0.9937733576214479,80,0,0.1,0.0,0.1
choice,fitted,entropy_confidence,0.9900388981787996,160,0,0.2,0.0,0.2
choice,fitted,entropy_confidence,0.9851700148516358,240,0,0.3,0.0,0.3
choice,fitted,entropy_confidence,0.9765449430920055,320,0,0.4,0.0,0.4
choice,fitted,entropy_confidence,0.9620749158891273,400,0,0.5,0.0,0.5
choice,fitted,entropy_confidence,0.9341681625655698,480,0,0.6,0.0,0.6
choice,fitted,entropy_confidence,0.885485677558092,560,1,0.7,0.0017857142857142857,0.7
choice,fitted,entropy_confidence,0.7619382389801176,640,5,0.8,0.0078125,0.8
choice,fitted,entropy_confidence,0.5276330680226077,720,10,0.9,0.013888888888888888,0.9
choice,fitted,entropy_confidence,0.008451329606204427,800,32,1.0,0.04,1.0
noul,t1,max_probability,0.9998554225799358,80,0,0.1,0.0,0.1
noul,t1,max_probability,0.9997180525008775,160,0,0.2,0.0,0.2
noul,t1,max_probability,0.9994921981661027,240,0,0.3,0.0,0.3
noul,t1,max_probability,0.9990721978724384,320,0,0.4,0.0,0.4
noul,t1,max_probability,0.9980086013570624,400,0,0.5,0.0,0.5
noul,t1,max_probability,0.9964204390333664,480,0,0.6,0.0,0.6
noul,t1,max_probability,0.9923237731730753,560,0,0.7,0.0,0.7
noul,t1,max_probability,0.9725316404149689,640,0,0.8,0.0,0.8
noul,t1,max_probability,0.8806119141005876,720,7,0.9,0.009722222222222222,0.9
noul,t1,max_probability,0.5040244187061659,800,38,1.0,0.0475,1.0
noul,t1,entropy_confidence,0.9979472231580372,80,0,0.1,0.0,0.1
noul,t1,entropy_confidence,0.9962684875900729,160,0,0.2,0.0,0.2
noul,t1,entropy_confidence,0.9937104805114275,240,0,0.3,0.0,0.3
noul,t1,entropy_confidence,0.9893155041891579,320,0,0.4,0.0,0.4
noul,t1,entropy_confidence,0.9792630485090138,400,0,0.5,0.0,0.5
noul,t1,entropy_confidence,0.9657575207438928,480,0,0.6,0.0,0.6
noul,t1,entropy_confidence,0.9350396961016715,560,0,0.7,0.0,0.7
noul,t1,entropy_confidence,0.8184675917054264,640,0,0.8,0.0,0.8
noul,t1,entropy_confidence,0.4724006244324863,720,7,0.9,0.009722222222222222,0.9
noul,t1,entropy_confidence,4.673212631811641e-05,800,38,1.0,0.0475,1.0
noul,fitted,max_probability,0.9985780912185295,80,0,0.1,0.0,0.1
noul,fitted,max_probability,0.997668955256484,160,0,0.2,0.0,0.2
noul,fitted,max_probability,0.9963984124670052,240,0,0.3,0.0,0.3
noul,fitted,max_probability,0.9943792470409021,320,0,0.4,0.0,0.4
noul,fitted,max_probability,0.9901332589277623,400,0,0.5,0.0,0.5
noul,fitted,max_probability,0.9848245246642888,480,0,0.6,0.0,0.6
noul,fitted,max_probability,0.9735113220331633,560,0,0.7,0.0,0.7
noul,fitted,max_probability,0.9336498622065467,640,0,0.8,0.0,0.8
noul,fitted,max_probability,0.814770971326526,720,7,0.9,0.009722222222222222,0.9
noul,fitted,max_probability,0.5029833718232924,800,38,1.0,0.0475,1.0
noul,fitted,entropy_confidence,0.9845017285886918,80,0,0.1,0.0,0.1
noul,fitted,entropy_confidence,0.9762563982328901,160,0,0.2,0.0,0.2
noul,fitted,entropy_confidence,0.9655787447056016,240,0,0.3,0.0,0.3
noul,fitted,entropy_confidence,0.9498985541180854,320,0,0.4,0.0,0.4
noul,fitted,entropy_confidence,0.9200915846904394,400,0,0.5,0.0,0.5
noul,fitted,entropy_confidence,0.8865814271987387,480,0,0.6,0.0,0.6
noul,fitted,entropy_confidence,0.823535159289758,560,0,0.7,0.0,0.7
noul,fitted,entropy_confidence,0.6478469659703483,640,0,0.8,0.0,0.8
noul,fitted,entropy_confidence,0.30861642417239143,720,7,0.9,0.009722222222222222,0.9
noul,fitted,entropy_confidence,2.5681588265991095e-05,800,38,1.0,0.0475,1.0
score,t1,max_probability,0.9994715785413129,80,2,0.1,0.025,0.1
score,t1,max_probability,0.9990750946689412,160,2,0.2,0.0125,0.2
score,t1,max_probability,0.998307940376327,240,2,0.3,0.008333333333333333,0.3
score,t1,max_probability,0.9973126747035833,320,2,0.4,0.00625,0.4
score,t1,max_probability,0.9945167274483233,400,2,0.5,0.005,0.5
score,t1,max_probability,0.9872484016680432,480,5,0.6,0.010416666666666666,0.6
score,t1,max_probability,0.9633921512830997,560,9,0.7,0.01607142857142857,0.7
score,t1,max_probability,0.8800926675378996,640,16,0.8,0.025,0.8
score,t1,max_probability,0.645272127099749,720,47,0.9,0.06527777777777778,0.9
score,t1,max_probability,0.2927780076740514,800,92,1.0,0.115,1.0
score,t1,entropy_confidence,0.9964687522145018,80,1,0.1,0.0125,0.1
score,t1,entropy_confidence,0.9938496869358017,160,2,0.2,0.0125,0.2
score,t1,entropy_confidence,0.9904580919883376,240,2,0.3,0.008333333333333333,0.3
score,t1,entropy_confidence,0.9848979313055806,320,2,0.4,0.00625,0.4
score,t1,entropy_confidence,0.9720183485577254,400,3,0.5,0.0075,0.5
score,t1,entropy_confidence,0.9487140008124327,480,7,0.6,0.014583333333333334,0.6
score,t1,entropy_confidence,0.8864379783829673,560,8,0.7,0.014285714285714285,0.7
score,t1,entropy_confidence,0.7175760094064213,640,18,0.8,0.028125,0.8
score,t1,entropy_confidence,0.47291113845242294,720,44,0.9,0.06111111111111111,0.9
score,t1,entropy_confidence,0.008569435839565487,800,92,1.0,0.115,1.0
score,fitted,max_probability,0.9954865283013408,80,2,0.1,0.025,0.1
score,fitted,max_probability,0.9927539114003388,160,2,0.2,0.0125,0.2
score,fitted,max_probability,0.9889181525068989,240,2,0.3,0.008333333333333333,0.3
score,fitted,max_probability,0.9844251834158182,320,2,0.4,0.00625,0.4
score,fitted,max_probability,0.9736205095162701,400,2,0.5,0.005,0.5
score,fitted,max_probability,0.9516902082608917,480,4,0.6,0.008333333333333333,0.6
score,fitted,max_probability,0.9070463136222598,560,8,0.7,0.014285714285714285,0.7
score,fitted,max_probability,0.7813780244211046,640,15,0.8,0.0234375,0.8
score,fitted,max_probability,0.5638557201598903,720,50,0.9,0.06944444444444445,0.9
score,fitted,max_probability,0.27112749359561295,800,92,1.0,0.115,1.0
score,fitted,entropy_confidence,0.9751712081424806,80,1,0.1,0.0125,0.1
score,fitted,entropy_confidence,0.964321766386784,160,2,0.2,0.0125,0.2
score,fitted,entropy_confidence,0.9509527429229953,240,2,0.3,0.008333333333333333,0.3
score,fitted,entropy_confidence,0.932107142759731,320,2,0.4,0.00625,0.4
score,fitted,entropy_confidence,0.8968375896658572,400,3,0.5,0.0075,0.5
score,fitted,entropy_confidence,0.8425408394156908,480,6,0.6,0.0125,0.6
score,fitted,entropy_confidence,0.7567130480172924,560,8,0.7,0.014285714285714285,0.7
score,fitted,entropy_confidence,0.5769730524520789,640,20,0.8,0.03125,0.8
score,fitted,entropy_confidence,0.3571753593125141,720,46,0.9,0.06388888888888888,0.9
score,fitted,entropy_confidence,0.004721902507627718,800,92,1.0,0.115,1.0
