id,dataset,type,group,repetitions,direct_mean_http_ms,one_token_mean_http_ms,json_mean_http_ms,one_token_minus_direct_ms,json_minus_direct_ms,all_conditions_valid
jcola:in_domain_valid:4269,JCoLA,noul,jcola-source:5d0c39052f6a801a1425bbaee9fdf44b15fe7411e9355d8d2ad8c9d9b25f8a67,1,281.2823327258229,290.01079220324755,565.1852497830987,8.728459477424622,283.9029170572758,True
jcola:in_domain_valid:4344,JCoLA,noul,jcola-source:5d0c39052f6a801a1425bbaee9fdf44b15fe7411e9355d8d2ad8c9d9b25f8a67,1,296.1756670847535,300.437374971807,533.7669998407364,4.26170788705349,237.59133275598288,True
jcola:in_domain_valid:450,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,282.7152921818197,288.2061670534313,517.5629579462111,5.490874871611595,234.84766576439142,True
jcola:in_domain_valid:4644,JCoLA,noul,jcola-source:5d0c39052f6a801a1425bbaee9fdf44b15fe7411e9355d8d2ad8c9d9b25f8a67,1,349.5950410142541,340.5977077782154,604.8675421625376,-8.997333236038685,255.27250114828348,True
jcola:in_domain_valid:4729,JCoLA,noul,jcola-source:ab4aad86cbc23c2a81968e16cd71adcd9023a0c673b34f6cb73420a5d99e5cea,1,272.8829998522997,263.53766676038504,510.90041594579816,-9.345333091914654,238.01741609349847,True
jcola:in_domain_valid:4740,JCoLA,noul,jcola-source:ab4aad86cbc23c2a81968e16cd71adcd9023a0c673b34f6cb73420a5d99e5cea,1,263.6362495832145,282.3208752088249,520.1863339170814,18.68462562561035,256.55008433386683,True
jcola:in_domain_valid:4743,JCoLA,noul,jcola-source:ab4aad86cbc23c2a81968e16cd71adcd9023a0c673b34f6cb73420a5d99e5cea,1,290.9093336202204,285.47533322125673,526.0379170067608,-5.43400039896369,235.1285833865404,True
jcola:in_domain_valid:4847,JCoLA,noul,jcola-source:ab4aad86cbc23c2a81968e16cd71adcd9023a0c673b34f6cb73420a5d99e5cea,1,315.0874590501189,302.02020797878504,560.9298329800367,-13.067251071333885,245.8423739299178,True
jcola:in_domain_valid:4862,JCoLA,noul,jcola-source:ab4aad86cbc23c2a81968e16cd71adcd9023a0c673b34f6cb73420a5d99e5cea,1,283.6029161699116,290.03600031137466,509.0075000189245,6.433084141463041,225.40458384901285,True
jcola:in_domain_valid:5302,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,275.56512504816055,283.6000001989305,410.54487507790327,8.034875150769949,134.97975002974272,True
jcola:in_domain_valid:5349,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,281.88945911824703,277.7437078766525,410.5713330209255,-4.145751241594553,128.6818739026785,True
jcola:in_domain_valid:5373,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,273.4304158948362,271.95208286866546,487.4597918242216,-1.4783330261707306,214.02937592938542,True
jcola:in_domain_valid:5493,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,327.30129128322005,313.78133269026875,577.2651671431959,-13.519958592951298,249.96387585997581,True
jcola:in_domain_valid:5515,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,298.7930839881301,309.2646673321724,541.7362079024315,10.471583344042301,242.9431239143014,True
jcola:in_domain_valid:5677,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,298.09333430603147,319.33804182335734,562.4448331072927,21.244707517325878,264.3514988012612,True
jcola:in_domain_valid:5685,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,268.3580839075148,282.00904186815023,499.80087485164404,13.650957960635424,231.44279094412923,True
jcola:in_domain_valid:5741,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,275.7444581948221,285.0909582339227,491.75095837563276,9.346500039100647,216.0065001808107,True
jcola:in_domain_valid:5836,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,315.6261253170669,321.11962512135506,543.074750341475,5.493499804288149,227.4486250244081,True
jcola:in_domain_valid:584,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,210.43816581368446,223.0497905984521,429.7398328781128,12.611624784767628,219.30166706442833,True
jcola:in_domain_valid:5860,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,300.92354072257876,307.9052921384573,527.9050003737211,6.981751415878534,226.98145965114236,True
jcola:in_domain_valid:6016,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,275.0362502411008,265.607041772455,487.53129225224257,-9.429208468645811,212.49504201114178,True
jcola:in_domain_valid:6427,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,289.56895880401134,283.48445799201727,416.7133751325309,-6.084500811994076,127.14441632851958,True
jcola:in_domain_valid:646,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,281.99179098010063,293.1612082757056,424.98704232275486,11.169417295604944,142.99525134265423,True
jcola:in_domain_valid:6504,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,206.48954203352332,218.61604182049632,413.2415000349283,12.126499786973,206.751958001405,True
jcola:in_domain_valid:6834,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,224.56858400255442,224.4290830567479,440.16470899805427,-0.1395009458065033,215.59612499549985,True
jcola:in_domain_valid:6875,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,278.8224588148296,281.640165951103,504.37474995851517,2.817707136273384,225.55229114368558,True
jcola:in_domain_valid:6974,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,275.99975001066923,264.62266594171524,478.79758290946484,-11.377084068953991,202.7978328987956,True
jcola:in_domain_valid:7018,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,258.24954081326723,273.62158335745335,481.06024973094463,15.372042544186115,222.8107089176774,True
jcola:in_domain_valid:7084,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,209.37112485989928,226.21037485077977,423.8857082091272,16.83924999088049,214.5145833492279,True
jcola:in_domain_valid:7088,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,285.8605827204883,283.06866716593504,420.37825006991625,-2.7919155545532703,134.51766734942794,True
jcola:in_domain_valid:7163,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,288.5968745686114,283.0147501081228,513.0264582112432,-5.582124460488558,224.42958364263177,True
jcola:in_domain_valid:7193,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,276.0954168625176,272.94412488117814,403.56775000691414,-3.1512919813394547,127.47233314439654,True
jcola:in_domain_valid:7197,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,263.47750006243587,275.3148330375552,506.29612524062395,11.837332975119352,242.81862517818809,True
jcola:in_domain_valid:7204,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,266.7104173451662,258.6118751205504,477.7655419893563,-8.098542224615812,211.05512464419007,True
jcola:in_domain_valid:721,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,288.18354196846485,273.2771667651832,490.20158406347036,-14.906375203281641,202.0180420950055,True
jcola:in_domain_valid:727,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,301.274917088449,284.3046667985618,524.769457988441,-16.97025028988719,223.494540899992,True
jcola:in_domain_valid:7272,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,194.5330840535462,194.34949988499284,375.57350005954504,-0.18358416855335236,181.04041600599885,True
jcola:in_domain_valid:7468,JCoLA,noul,jcola-source:ed9018c37a0c5b2d851275eb41432c655e73af85f8eb32f8a1f2fd666dd382cf,1,294.77516608312726,287.4619998037815,524.7075408697128,-7.313166279345751,229.93237478658557,True
jcola:in_domain_valid:7501,JCoLA,noul,jcola-source:7bfef724caec36e305d771aed445498713e01453271886f1519e8a702a190ca4,1,282.5525840744376,269.4547502323985,492.20041558146477,-13.097833842039108,209.64783150702715,True
jcola:in_domain_valid:7588,JCoLA,noul,jcola-source:7bfef724caec36e305d771aed445498713e01453271886f1519e8a702a190ca4,1,293.9807497896254,293.1365421973169,425.74733309447765,-0.8442075923085213,131.76658330485225,True
jcola:in_domain_valid:7635,JCoLA,noul,jcola-source:7bfef724caec36e305d771aed445498713e01453271886f1519e8a702a190ca4,1,277.54883328452706,286.79870814085007,506.97149988263845,9.249874856323004,229.4226665981114,True
jcola:in_domain_valid:7645,JCoLA,noul,jcola-source:7bfef724caec36e305d771aed445498713e01453271886f1519e8a702a190ca4,1,284.99516705051064,278.8106673397124,429.8968748189509,-6.1844997107982635,144.90170776844025,True
jcola:in_domain_valid:7757,JCoLA,noul,jcola-source:7bfef724caec36e305d771aed445498713e01453271886f1519e8a702a190ca4,1,283.80862483754754,286.91770834848285,418.0830833502114,3.1090835109353065,134.27445851266384,True
jcola:in_domain_valid:7803,JCoLA,noul,jcola-source:7bfef724caec36e305d771aed445498713e01453271886f1519e8a702a190ca4,1,273.2697078026831,268.46516598016024,400.6185829639435,-4.804541822522879,127.34887516126037,True
jcola:in_domain_valid:7846,JCoLA,noul,jcola-source:7bfef724caec36e305d771aed445498713e01453271886f1519e8a702a190ca4,1,262.05566618591547,270.07183292880654,387.3660829849541,8.016166742891073,125.31041679903865,True
jcola:in_domain_valid:7890,JCoLA,noul,jcola-source:06bff9fef3e147878a0e63370f8303363959deceebaf2bc172b965029cd714e4,1,294.28933281451464,304.48587518185377,539.5541246980429,10.196542367339134,245.26479188352823,True
jcola:in_domain_valid:7898,JCoLA,noul,jcola-source:06bff9fef3e147878a0e63370f8303363959deceebaf2bc172b965029cd714e4,1,294.2217499949038,300.14016665518284,528.3506247214973,5.918416660279036,234.1288747265935,True
jcola:in_domain_valid:795,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,281.46733390167356,275.07191617041826,495.0556247495115,-6.395417731255293,213.58829084783792,True
