dataset,mode,phase,n,mean,p50,p95,min,max,sum
JSTS,direct,render_ms,200,0.6066921,0.591125,0.7239645999999998,0.4875,0.933291,121.33842
JSTS,direct,response_prepare_ms,200,0.04740101,0.046854,0.05637915,0.038125,0.063334,9.480202
JSTS,direct,response_serialization_ms,200,0.005969164999999999,0.005833,0.0073380999999999984,0.004083,0.00825,1.193833
JSTS,direct,sampler_setup_ms,200,3.7945e-05,4.2e-05,0.000125,0.0,0.000208,0.007588999999999999
JSTS,direct,sampling_ms,200,0.0,0.0,0.0,0.0,0.0,0.0
JSTS,direct,state_reset_ms,200,0.573342275,0.548333,0.69494615,0.470917,1.562709,114.668455
JSTS,direct,tokenize_validate_ms,200,4.23127086,4.103104,5.1261503,3.406,6.721334,846.254172
JSTS,one_token,completion_check_ms,200,0.0005164599999999999,0.000542,0.000833,4.1e-05,0.000958,0.103292
JSTS,one_token,decode_ms,200,0.0,0.0,0.0,0.0,0.0,0.0
JSTS,one_token,native_total_ms,200,388.26235772499996,392.650062,437.29653714999995,269.359958,508.094167,77652.471545
JSTS,one_token,parse_ms,200,0.01896563,0.018667,0.0233792,0.014667,0.0275,3.793126
JSTS,one_token,prefill_ms,200,382.447883955,386.8319995,431.306792,264.276417,500.65375,76489.576791
JSTS,one_token,readout_ms,200,0.00170454,0.001708,0.002086049999999999,0.001,0.002167,0.340908
JSTS,one_token,render_ms,200,0.6095983300000001,0.5970415,0.7461544999999999,0.440167,0.850459,121.919666
JSTS,one_token,response_prepare_ms,200,0.04677393999999999,0.0457915,0.056260399999999995,0.036292,0.076292,9.354788
JSTS,one_token,response_serialization_ms,200,0.00593169,0.005792,0.007254199999999999,0.004333,0.015291,1.186338
JSTS,one_token,sampler_setup_ms,200,0.000838745,0.000833,0.001084,0.000458,0.00125,0.167749
JSTS,one_token,sampling_ms,200,0.293451005,0.2839585,0.36609965,0.238125,0.449334,58.690201
JSTS,one_token,state_reset_ms,200,0.57077976,0.5564370000000001,0.6891423,0.462166,0.774,114.155952
JSTS,one_token,tokenize_validate_ms,200,4.260845455,4.110896,5.30796665,3.289584,8.1475,852.169091
JSTS,json,completion_check_ms,200,0.04546588,0.0447505,0.05233715,0.037833000000000006,0.058665999999999996,9.093176
JSTS,json,decode_ms,200,98.970573515,98.6993315,106.99116034999999,86.068917,115.45791600000001,19794.114703
JSTS,json,native_total_ms,200,579.701011865,582.9276460000001,649.6508735499999,423.058167,705.027209,115940.20237300001
JSTS,json,parse_ms,200,0.018734135,0.018292,0.023512499999999995,0.014833,0.026375,3.746827
JSTS,json,prefill_ms,200,392.83210562,399.078896,448.96500799999995,263.338708,501.081208,78566.421124
JSTS,json,readout_ms,200,6.604999999999999e-05,4.2e-05,0.00025,0.0,0.000333,0.01321
JSTS,json,render_ms,200,0.603445805,0.589729,0.7493881499999999,0.482625,0.840291,120.689161
JSTS,json,response_prepare_ms,200,0.046737089999999995,0.0457915,0.05629405,0.038875,0.06225,9.347418
JSTS,json,response_serialization_ms,200,0.00443274,0.004292,0.005543149999999999,0.003375,0.012541,0.886548
JSTS,json,sampler_setup_ms,200,0.015884395,0.015709,0.018547299999999996,0.012542,0.022916,3.176879
JSTS,json,sampling_ms,200,85.641062525,83.2991245,104.9763292,70.194875,122.77070699999999,17128.212505
JSTS,json,state_reset_ms,200,0.56899828,0.5480415000000001,0.68535065,0.472833,1.429166,113.799656
JSTS,json,tokenize_validate_ms,200,0.9433799399999999,0.9265414999999999,1.1224211499999996,0.730417,1.489209,188.675988
JCommonsenseQA,direct,completion_check_ms,200,0.0,0.0,0.0,0.0,0.0,0.0
JCommonsenseQA,direct,decode_ms,200,0.0,0.0,0.0,0.0,0.0,0.0
JCommonsenseQA,direct,native_total_ms,200,263.35480312,267.740104,305.18164404999993,173.500208,377.562833,52670.960624
JCommonsenseQA,direct,parse_ms,200,0.013710614999999999,0.0135,0.01666905,0.010459,0.018292,2.742123
JCommonsenseQA,direct,prefill_ms,200,260.159063755,264.3621455,302.18733749999996,170.799416,373.235459,52031.812751
JCommonsenseQA,direct,readout_ms,200,0.00152246,0.0015,0.0019160499999999999,0.000791,0.002375,0.304492
JCommonsenseQA,direct,render_ms,200,0.60493853,0.586854,0.7479021,0.468875,0.771083,120.987706
JCommonsenseQA,direct,response_prepare_ms,200,0.036043135,0.035521,0.0427521,0.028708,0.045417,7.208627
JCommonsenseQA,direct,response_serialization_ms,200,0.00563268,0.005541,0.00725,0.003583,0.008292,1.126536
JCommonsenseQA,direct,sampler_setup_ms,200,4.8710000000000006e-05,4.1e-05,0.000167,0.0,0.000291,0.009742
JCommonsenseQA,direct,sampling_ms,200,0.0,0.0,0.0,0.0,0.0,0.0
JCommonsenseQA,direct,state_reset_ms,200,0.56718477,0.5461455,0.6820104,0.454625,1.575209,113.436954
JCommonsenseQA,direct,tokenize_validate_ms,200,1.962365395,1.9217705,2.3722981999999986,1.543542,2.964833,392.473079
JCommonsenseQA,one_token,completion_check_ms,200,0.000564405,0.000542,0.000875,4.1e-05,0.001084,0.112881
JCommonsenseQA,one_token,decode_ms,200,0.0,0.0,0.0,0.0,0.0,0.0
JCommonsenseQA,one_token,native_total_ms,200,263.49351753499997,267.98289550000004,301.77665414999996,174.631625,371.452125,52698.703507
JCommonsenseQA,one_token,parse_ms,200,0.0137721,0.0134375,0.01688125,0.010375,0.019583,2.75442
JCommonsenseQA,one_token,prefill_ms,200,260.001489755,264.71918800000003,298.4251101,171.756292,366.702208,52000.297951
JCommonsenseQA,one_token,readout_ms,200,0.0015327399999999999,0.0015,0.0019160499999999999,0.000792,0.002792,0.306548
JCommonsenseQA,one_token,render_ms,200,0.60577333,0.5888125,0.7436437499999999,0.4785,0.818583,121.154666
JCommonsenseQA,one_token,response_prepare_ms,200,0.03567708,0.035146,0.04234135,0.024458,0.045167,7.135416
JCommonsenseQA,one_token,response_serialization_ms,200,0.005747085,0.005667,0.007212149999999999,0.00325,0.008292,1.149417
JCommonsenseQA,one_token,sampler_setup_ms,200,0.000832065,0.000833,0.0010860499999999992,0.000334,0.001292,0.166413
JCommonsenseQA,one_token,sampling_ms,200,0.29380872,0.282667,0.366175,0.231083,0.412833,58.761744
JCommonsenseQA,one_token,state_reset_ms,200,0.56458393,0.5495835,0.6768124999999999,0.468333,0.928166,112.916786
JCommonsenseQA,one_token,tokenize_validate_ms,200,1.964588345,1.914792,2.34971285,1.53425,3.034292,392.917669
JCommonsenseQA,json,completion_check_ms,200,0.035110585,0.031895999999999994,0.05394319999999999,0.025374999999999998,0.074041,7.022117
JCommonsenseQA,json,decode_ms,200,75.37680998,67.116875,115.6422161,57.6415,132.53254299999998,15075.361996
JCommonsenseQA,json,native_total_ms,200,423.91165020499994,414.26585450000005,509.04868989999994,296.413875,628.540625,84782.330041
JCommonsenseQA,json,parse_ms,200,0.014363365,0.0141665,0.017233049999999993,0.010375,0.019875,2.872673
JCommonsenseQA,json,prefill_ms,200,283.27641273,286.433979,322.10488365,190.743583,388.5835,56655.282546
JCommonsenseQA,json,readout_ms,200,5.9155e-05,4.2e-05,0.000167,0.0,0.000292,0.011831
JCommonsenseQA,json,render_ms,200,0.5996454099999999,0.5880415,0.7454788499999999,0.4595,0.856833,119.929082
JCommonsenseQA,json,response_prepare_ms,200,0.03741689,0.0367705,0.04481489999999999,0.029209,0.055208,7.483378
JCommonsenseQA,json,response_serialization_ms,200,0.004490195,0.004417,0.005541,0.003375,0.006625,0.898039
JCommonsenseQA,json,sampler_setup_ms,200,0.016741634999999998,0.016375,0.019421149999999998,0.011917,0.038667,3.348327
JCommonsenseQA,json,sampling_ms,200,63.394690625,56.1136245,96.46668059999998,45.282001,127.741292,12678.938125
JCommonsenseQA,json,state_reset_ms,200,0.5673339949999999,0.5453545,0.67742945,0.455541,1.600625,113.466799
JCommonsenseQA,json,tokenize_validate_ms,200,0.5795589600000001,0.574604,0.66542435,0.381458,1.069916,115.911792
