dataset,split,mode,condition,metric,value,valid,total,coverage
JSTS,all,direct,historical_temperature,mae,0.49836248670672795,200,200,1.0
JSTS,all,direct,historical_temperature,rmse,0.6550198097819872,200,200,1.0
JSTS,all,direct,historical_temperature,pearson,0.9187842059292699,200,200,1.0
JSTS,all,direct,historical_temperature,spearman_average_ranks,0.8894113736262356,200,200,1.0
JSTS,all,direct,historical_temperature,normalized_mae_divided_by_5,0.09967249734134559,200,200,1.0
JSTS,all,one_token,hard_selected_stage,mae,0.548,200,200,1.0
JSTS,all,one_token,hard_selected_stage,rmse,0.7464583042608609,200,200,1.0
JSTS,all,one_token,hard_selected_stage,pearson,0.9058266117996377,200,200,1.0
JSTS,all,one_token,hard_selected_stage,spearman_average_ranks,0.8753557075573405,200,200,1.0
JSTS,all,one_token,hard_selected_stage,normalized_mae_divided_by_5,0.1096,200,200,1.0
JSTS,all,one_token,t1,mae,0.5064932742637216,200,200,1.0
JSTS,all,one_token,t1,rmse,0.6688013286685927,200,200,1.0
JSTS,all,one_token,t1,pearson,0.9192133661552703,200,200,1.0
JSTS,all,one_token,t1,spearman_average_ranks,0.889231016399466,200,200,1.0
JSTS,all,one_token,t1,normalized_mae_divided_by_5,0.10129865485274432,200,200,1.0
JSTS,all,one_token,historical_temperature,mae,0.49836248670672795,200,200,1.0
JSTS,all,one_token,historical_temperature,rmse,0.6550198097819872,200,200,1.0
JSTS,all,one_token,historical_temperature,pearson,0.9187842059292699,200,200,1.0
JSTS,all,one_token,historical_temperature,spearman_average_ranks,0.8894113736262356,200,200,1.0
JSTS,all,one_token,historical_temperature,normalized_mae_divided_by_5,0.09967249734134559,200,200,1.0
JSTS,all,json,hard_selected_stage,mae,0.565,200,200,1.0
JSTS,all,json,hard_selected_stage,rmse,0.765636989702039,200,200,1.0
JSTS,all,json,hard_selected_stage,pearson,0.8996452240677008,200,200,1.0
JSTS,all,json,hard_selected_stage,spearman_average_ranks,0.8724959553865763,200,200,1.0
JSTS,all,json,hard_selected_stage,normalized_mae_divided_by_5,0.11299999999999999,200,200,1.0
JCommonsenseQA,all,direct,hard_label,accuracy,0.95,200,200,1.0
JCommonsenseQA,all,direct,hard_label,balanced_accuracy,0.9523809523809523,200,200,1.0
JCommonsenseQA,all,direct,hard_label,macro_f1,0.9506393279090768,200,200,1.0
JCommonsenseQA,all,direct,t1,nll_logsumexp,0.1324251039442584,200,200,1.0
JCommonsenseQA,all,direct,t1,brier_multiclass_sum,0.06959989828498281,200,200,1.0
JCommonsenseQA,all,direct,t1,brier_binary_true,,200,200,1.0
JCommonsenseQA,all,direct,t1,ece_10_equal_width,0.0326176015594444,200,200,1.0
JCommonsenseQA,all,direct,historical_temperature,nll_logsumexp,0.13180443591307273,200,200,1.0
JCommonsenseQA,all,direct,historical_temperature,brier_multiclass_sum,0.06643908960469845,200,200,1.0
JCommonsenseQA,all,direct,historical_temperature,brier_binary_true,,200,200,1.0
JCommonsenseQA,all,direct,historical_temperature,ece_10_equal_width,0.03525457699766798,200,200,1.0
JCommonsenseQA,all,one_token,hard_label,accuracy,0.95,200,200,1.0
JCommonsenseQA,all,one_token,hard_label,balanced_accuracy,0.9523809523809523,200,200,1.0
JCommonsenseQA,all,one_token,hard_label,macro_f1,0.9506393279090768,200,200,1.0
JCommonsenseQA,all,one_token,t1,nll_logsumexp,0.1324251039442584,200,200,1.0
JCommonsenseQA,all,one_token,t1,brier_multiclass_sum,0.06959989828498281,200,200,1.0
JCommonsenseQA,all,one_token,t1,brier_binary_true,,200,200,1.0
JCommonsenseQA,all,one_token,t1,ece_10_equal_width,0.0326176015594444,200,200,1.0
JCommonsenseQA,all,one_token,historical_temperature,nll_logsumexp,0.13180443591307273,200,200,1.0
JCommonsenseQA,all,one_token,historical_temperature,brier_multiclass_sum,0.06643908960469845,200,200,1.0
JCommonsenseQA,all,one_token,historical_temperature,brier_binary_true,,200,200,1.0
JCommonsenseQA,all,one_token,historical_temperature,ece_10_equal_width,0.03525457699766798,200,200,1.0
JCommonsenseQA,all,json,hard_label,accuracy,0.955,200,200,1.0
JCommonsenseQA,all,json,hard_label,balanced_accuracy,0.9569264069264068,200,200,1.0
JCommonsenseQA,all,json,hard_label,macro_f1,0.9556204939458948,200,200,1.0
